Username,StudentIDNumber,GroupCode
68307020002,68307020002,683070201
68307020003,68307020003,683070201
68307020004,68307020004,683070202
68307020005,68307020005,683070202
68307020006,68307020006,683070202
68307020007,68307020007,683070202
68307020008,68307020008,683070202
68307020009,68307020009,683070202
68314010001,68314010001,683140101
68314010002,68314010002,683140101
68314010003,68314010003,683140101
68314010004,68314010004,683140101
68314010005,68314010005,683140101
68314010006,68314010006,683140102
68314010007,68314010007,683140102
68314010008,68314010008,683140102
68314010009,68314010009,683140102
68314010010,68314010010,683140102
68314010011,68314010011,683140102
68314010012,68314010012,683140102
68314010013,68314010013,683140102
68314010014,68314010014,683140102
68314010015,68314010015,683140102
68314010016,68314010016,683140102
68314010017,68314010017,683140102
68314010018,68314010018,683140102
68314010019,68314010019,683140102
68314010020,68314010020,683140102
68314010021,68314010021,683140102
68314010022,68314010022,683140102
68314010023,68314010023,683140102
68314010024,68314010024,683140102
68314010025,68314010025,683140102
68314010026,68314010026,683140103
68314010027,68314010027,683140103
68314010028,68314010028,683140103
68314010029,68314010029,683140103
68314010030,68314010030,683140103
68314010031,68314010031,683140103
68314010032,68314010032,683140103
68314010033,68314010033,683140103
68314010034,68314010034,683140103
68314010035,68314010035,683140103
68314010036,68314010036,683140103
68314010037,68314010037,683140103
68314010038,68314010038,683140103
68314010039,68314010039,683140103
68314010040,68314010040,683140103
68314010041,68314010041,683140103
68314010042,68314010042,683140103
68314010043,68314010043,683140103
68314010044,68314010044,683140103
68314010045,68314010045,683140103
68314010046,68314010046,683140103
68314010047,68314010047,683140103
68314010048,68314010048,683140104
68314010049,68314010049,683140104
68314010050,68314010050,683140104
68314010051,68314010051,683140104
68314010052,68314010052,683140104
68314010053,68314010053,683140104
68314010054,68314010054,683140104
68314010055,68314010055,683140104
68314010056,68314010056,683140104
68314010057,68314010057,683140104
68314010058,68314010058,683140104
68314010059,68314010059,683140104
68314010060,68314010060,683140104
68314010061,68314010061,683140104
68314010062,68314010062,683140104
68314010063,68314010063,683140104
68314010064,68314010064,683140104
68314010065,68314010065,683140104
68314010066,68314010066,683140104
68314010067,68314010067,683140104
68314010068,68314010068,683140104
68314010069,68314010069,683140104
68314010070,68314010070,683140104
68314010071,68314010071,683140104
68314010072,68314010072,683140105
68314010073,68314010073,683140105
68314010074,68314010074,683140105
68314010075,68314010075,683140105
68314010076,68314010076,683140105
68314010077,68314010077,683140105
68314010078,68314010078,683140105
68314010079,68314010079,683140105
68314010080,68314010080,683140105
68314010081,68314010081,683140105
68314010082,68314010082,683140105
